   ELEMENT       X-STR          Y-STR          XY-STR
      1       -0.270E+03     -0.801E+01      0.199E+01
      2       -0.252E+03     -0.768E+01     -0.447E+01
      3       -0.252E+03     -0.936E+01      0.312E+01
      4       -0.234E+03     -0.741E+01     -0.422E+01
      5       -0.234E+03     -0.997E+01      0.361E+01
      6       -0.215E+03     -0.733E+01     -0.403E+01
      7       -0.216E+03     -0.102E+02      0.383E+01
      8       -0.197E+03     -0.727E+01     -0.391E+01
      9       -0.197E+03     -0.102E+02      0.392E+01
     10       -0.179E+03     -0.715E+01     -0.383E+01
     11       -0.179E+03     -0.100E+02      0.397E+01
     12       -0.161E+03     -0.697E+01     -0.376E+01
     13       -0.161E+03     -0.979E+01      0.399E+01
     14       -0.142E+03     -0.673E+01     -0.371E+01
     15       -0.143E+03     -0.950E+01      0.401E+01
     16       -0.124E+03     -0.644E+01     -0.367E+01
     17       -0.125E+03     -0.915E+01      0.401E+01
     18       -0.107E+03     -0.609E+01     -0.363E+01
     19       -0.107E+03     -0.876E+01      0.402E+01
     20       -0.887E+02     -0.571E+01     -0.360E+01
     21       -0.892E+02     -0.834E+01      0.402E+01
     22       -0.709E+02     -0.530E+01     -0.358E+01
     23       -0.713E+02     -0.789E+01      0.403E+01
     24       -0.531E+02     -0.486E+01     -0.356E+01
     25       -0.535E+02     -0.743E+01      0.403E+01
     26       -0.354E+02     -0.439E+01     -0.355E+01
     27       -0.358E+02     -0.694E+01      0.403E+01
     28       -0.176E+02     -0.391E+01     -0.354E+01
     29       -0.180E+02     -0.645E+01      0.403E+01
     30        0.122E+00     -0.342E+01     -0.353E+01
     31       -0.301E+00     -0.595E+01      0.403E+01
     32        0.179E+02     -0.292E+01     -0.353E+01
     33        0.174E+02     -0.545E+01      0.403E+01
     34        0.356E+02     -0.242E+01     -0.353E+01
     35        0.352E+02     -0.495E+01      0.403E+01
     36        0.534E+02     -0.192E+01     -0.354E+01
     37        0.529E+02     -0.446E+01      0.403E+01
     38        0.711E+02     -0.142E+01     -0.355E+01
     39        0.707E+02     -0.398E+01      0.403E+01
     40        0.890E+02     -0.936E+00     -0.357E+01
     41        0.885E+02     -0.351E+01      0.403E+01
     42        0.107E+03     -0.463E+00     -0.358E+01
     43        0.106E+03     -0.306E+01      0.404E+01
     44        0.125E+03     -0.434E-02     -0.360E+01
     45        0.124E+03     -0.262E+01      0.404E+01
     46        0.143E+03      0.437E+00     -0.362E+01
     47        0.142E+03     -0.220E+01      0.405E+01
     48        0.161E+03      0.859E+00     -0.364E+01
     49        0.160E+03     -0.179E+01      0.406E+01
     50        0.179E+03      0.126E+01     -0.366E+01
     51        0.178E+03     -0.137E+01      0.408E+01
     52        0.197E+03      0.165E+01     -0.366E+01
     53        0.197E+03     -0.911E+00      0.412E+01
     54        0.215E+03      0.202E+01     -0.362E+01
     55        0.215E+03     -0.324E+00      0.420E+01
     56        0.234E+03      0.236E+01     -0.348E+01
     57        0.234E+03      0.596E+00      0.440E+01
     58        0.253E+03      0.260E+01     -0.312E+01
     59        0.253E+03      0.238E+01      0.491E+01
     60        0.273E+03      0.231E+01     -0.238E+01
     61       -0.271E+03     -0.108E+02      0.348E+01
     62       -0.252E+03     -0.817E+01     -0.423E+01
     63       -0.252E+03     -0.105E+02      0.347E+01
     64       -0.233E+03     -0.793E+01     -0.414E+01
     65       -0.234E+03     -0.104E+02      0.368E+01
     66       -0.215E+03     -0.772E+01     -0.397E+01
     67       -0.215E+03     -0.104E+02      0.389E+01
     68       -0.197E+03     -0.753E+01     -0.380E+01
     69       -0.197E+03     -0.103E+02      0.404E+01
     70       -0.179E+03     -0.732E+01     -0.365E+01
     71       -0.179E+03     -0.101E+02      0.416E+01
     72       -0.160E+03     -0.708E+01     -0.353E+01
     73       -0.161E+03     -0.981E+01      0.425E+01
     74       -0.142E+03     -0.680E+01     -0.342E+01
     75       -0.143E+03     -0.951E+01      0.432E+01
     76       -0.124E+03     -0.649E+01     -0.333E+01
     77       -0.125E+03     -0.915E+01      0.437E+01
     78       -0.107E+03     -0.613E+01     -0.326E+01
     79       -0.107E+03     -0.876E+01      0.442E+01
     80       -0.887E+02     -0.574E+01     -0.319E+01
     81       -0.891E+02     -0.834E+01      0.445E+01
     82       -0.709E+02     -0.532E+01     -0.314E+01
     83       -0.713E+02     -0.789E+01      0.448E+01
     84       -0.531E+02     -0.487E+01     -0.310E+01
     85       -0.535E+02     -0.743E+01      0.450E+01
     86       -0.353E+02     -0.441E+01     -0.307E+01
