    NODE     X-DISP         Y-DISP
     1      0.000E+00     -0.348E-06
     2      0.000E+00     -0.348E-06
     3      0.000E+00     -0.348E-06
     4      0.000E+00     -0.348E-06
     5      0.000E+00     -0.349E-06
     6      0.000E+00     -0.349E-06
     7      0.000E+00     -0.349E-06
     8      0.000E+00     -0.349E-06
     9      0.000E+00     -0.349E-06
    10      0.000E+00     -0.349E-06
    11      0.000E+00     -0.349E-06
    12      0.000E+00     -0.349E-06
    13      0.000E+00     -0.349E-06
    14      0.000E+00     -0.349E-06
    15      0.000E+00     -0.349E-06
    16      0.000E+00     -0.349E-06
    17      0.000E+00     -0.349E-06
    18      0.000E+00     -0.349E-06
    19      0.000E+00     -0.349E-06
    20      0.000E+00     -0.349E-06
    21      0.000E+00     -0.349E-06
    22      0.000E+00     -0.349E-06
    23      0.000E+00     -0.349E-06
    24      0.000E+00     -0.348E-06
    25      0.000E+00     -0.348E-06
    26      0.000E+00     -0.348E-06
    27      0.000E+00     -0.348E-06
    28      0.000E+00     -0.348E-06
    29      0.000E+00     -0.348E-06
    30      0.000E+00     -0.347E-06
    31      0.000E+00     -0.347E-06
    32     -0.134E-08     -0.348E-06
    33     -0.125E-08     -0.348E-06
    34     -0.116E-08     -0.348E-06
    35     -0.107E-08     -0.348E-06
    36     -0.978E-09     -0.348E-06
    37     -0.887E-09     -0.349E-06
    38     -0.797E-09     -0.349E-06
    39     -0.707E-09     -0.349E-06
    40     -0.617E-09     -0.349E-06
    41     -0.528E-09     -0.349E-06
    42     -0.439E-09     -0.349E-06
    43     -0.350E-09     -0.349E-06
    44     -0.261E-09     -0.349E-06
    45     -0.173E-09     -0.349E-06
    46     -0.848E-10     -0.349E-06
    47      0.347E-11     -0.349E-06
    48      0.917E-10     -0.349E-06
    49      0.180E-09     -0.349E-06
    50      0.268E-09     -0.349E-06
    51      0.357E-09     -0.349E-06
    52      0.446E-09     -0.349E-06
    53      0.535E-09     -0.349E-06
    54      0.624E-09     -0.349E-06
    55      0.713E-09     -0.348E-06
    56      0.803E-09     -0.348E-06
    57      0.893E-09     -0.348E-06
    58      0.984E-09     -0.348E-06
    59      0.108E-08     -0.348E-06
    60      0.117E-08     -0.348E-06
    61      0.126E-08     -0.347E-06
    62      0.136E-08     -0.347E-06
    63     -0.269E-08     -0.348E-06
    64     -0.250E-08     -0.348E-06
    65     -0.232E-08     -0.348E-06
    66     -0.214E-08     -0.348E-06
    67     -0.196E-08     -0.348E-06
    68     -0.177E-08     -0.348E-06
    69     -0.159E-08     -0.349E-06
    70     -0.141E-08     -0.349E-06
    71     -0.123E-08     -0.349E-06
    72     -0.106E-08     -0.349E-06
    73     -0.877E-09     -0.349E-06
    74     -0.700E-09     -0.349E-06
    75     -0.523E-09     -0.349E-06
    76     -0.346E-09     -0.349E-06
    77     -0.170E-09     -0.349E-06
    78      0.695E-11     -0.349E-06
    79      0.183E-09     -0.349E-06
    80      0.360E-09     -0.349E-06
    81      0.537E-09     -0.349E-06
    82      0.714E-09     -0.349E-06
    83      0.891E-09     -0.349E-06
    84      0.107E-08     -0.348E-06
    85      0.125E-08     -0.348E-06
    86      0.143E-08     -0.348E-06
    87      0.161E-08     -0.348E-06
    88      0.179E-08     -0.348E-06
    89      0.197E-08     -0.348E-06
    90      0.215E-08     -0.348E-06
    91      0.234E-08     -0.347E-06
    92      0.252E-08     -0.347E-06
    93      0.272E-08     -0.347E-06
    94     -0.403E-08     -0.348E-06
    95     -0.376E-08     -0.348E-06
    96     -0.348E-08     -0.348E-06
    97     -0.321E-08     -0.348E-06
    98     -0.293E-08     -0.348E-06
    99     -0.266E-08     -0.348E-06
   100     -0.239E-08     -0.348E-06
   101     -0.212E-08     -0.348E-06
   102     -0.185E-08     -0.348E-06
   103     -0.158E-08     -0.349E-06
   104     -0.132E-08     -0.349E-06
   105     -0.105E-08     -0.349E-06
   106     -0.784E-09     -0.349E-06
   107     -0.519E-09     -0.349E-06
   108     -0.254E-09     -0.349E-06
   109      0.105E-10     -0.349E-06
   110      0.275E-09     -0.349E-06
   111      0.540E-09     -0.349E-06
   112      0.805E-09     -0.348E-06
   113      0.107E-08     -0.348E-06
   114      0.134E-08     -0.348E-06
   115      0.160E-08     -0.348E-06
   116      0.187E-08     -0.348E-06
   117      0.214E-08     -0.348E-06
   118      0.241E-08     -0.348E-06
   119      0.268E-08     -0.348E-06
   120      0.295E-08     -0.348E-06
   121      0.323E-08     -0.347E-06
   122      0.351E-08     -0.347E-06
   123      0.379E-08     -0.347E-06
   124      0.407E-08     -0.347E-06
   125     -0.538E-08     -0.347E-06
   126     -0.501E-08     -0.347E-06
   127     -0.464E-08     -0.348E-06
   128     -0.427E-08     -0.348E-06
   129     -0.391E-08     -0.348E-06
   130     -0.355E-08     -0.348E-06
   131     -0.318E-08     -0.348E-06
   132     -0.282E-08     -0.348E-06
   133     -0.247E-08     -0.348E-06
   134     -0.211E-08     -0.348E-06
   135     -0.175E-08     -0.348E-06
   136     -0.140E-08     -0.348E-06
   137     -0.105E-08     -0.348E-06
   138     -0.692E-09     -0.348E-06
   139     -0.339E-09     -0.348E-06
   140      0.141E-10     -0.348E-06
   141      0.367E-09     -0.348E-06
   142      0.720E-09     -0.348E-06
